Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
Asa Briggs House,Asa Briggs House ,Bronze En-Suite,169.0,718.25,8619,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Bronze Plus En-Suite,173.0,735.25,8823,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Silver En-Suite,180.0,765.0,9180,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Gold En-Suite,187.0,794.75,9537,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Bronze Studio,210.0,892.5,10710,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Silver Studio,221.0,939.25,11271,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Gold Studio,231.0,981.75,11781,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Platinum Studio,245.0,1041.25,12495,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Platinum Plus Studio,255.0,1083.75,13005,51,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Bronze Plus En-suite,177.0,649.0,7788,44,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
Asa Briggs House,Asa Briggs House ,Silver En-suite,185.0,678.33,8140,44,,,,"Asa Briggs House, 6 St John's Rd, Woodhouse, Leeds, Leeds, LS3 1FF",https://www.mystudenthalls.com/student-accommodation/leeds/asa-briggs-house/
