Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
"Between Towns Court, Oxford",Fresh,Ground Floor En Suite,198.0,693.0,8316,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Ground Floor En Suite,195.0,828.75,9945,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic En Suite,205.0,717.5,8610,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic En Suite,202.0,858.5,10302,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Large En Suite,215.0,752.5,9030,42,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Large En Suite,210.0,892.5,10710,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
"Between Towns Court, Oxford",Fresh,Classic Studio,280.0,1190.0,14280,51,,,,"13 Between Towns Road, Oxford, Oxford, OX4 3LX",https://www.mystudenthalls.com/student-accommodation/oxford/between-towns-court-oxford/
Student Castle Oxford,Student Castle,Palin Flat,222.0,943.5,11322,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Wilde Flat,235.0,998.75,11985,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
Student Castle Oxford,Student Castle,Lewis Flat,275.0,1168.75,14025,51,,,,"Osney Lane, Oxford, OX1 1TE",https://www.mystudenthalls.com/student-accommodation/oxford/student-castle-oxford/
