Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Minimum Weeks,Area sqm,Area sqft,£psf pa,Address,url
Alma Court,Fresh,Bronze En-suite - Restricted View,155,658.75,7905,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Bronze Studio - Restricted View,199,845.75,10149,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Bronze En Suite,162,594.0,7128,44,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Bronze Plus En Suite,162,688.5,8262,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Silver En Suite,172,630.67,7568,44,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Silver En Suite,167,709.75,8517,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Gold En Suite,180,660.0,7920,44,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Gold En Suite,175,743.75,8925,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Bronze Studio,199,845.75,10149,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Silver Studio,210,892.5,10710,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Gold Studio,225,956.25,11475,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Platinum Studio,235,998.75,11985,51,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Alma Court,Fresh,Bronze Plus En suite,167,612.33,7348,44,,,,"Alma Court, Military Road, Canterbury, CT1 1DD",https://www.mystudenthalls.com/student-accommodation/canterbury/alma-court/
Riverside,Student Living,Standard Cluster En-suite,155,568.33,6820,44,,,,"Riverside, Sturry Road, Canterbury, CT1 1JX",https://www.mystudenthalls.com/student-accommodation/canterbury/riverside/
Riverside,Student Living,Standard Cluster En-suite,150,637.5,7650,51,,,,"Riverside, Sturry Road, Canterbury, CT1 1JX",https://www.mystudenthalls.com/student-accommodation/canterbury/riverside/
Riverside,Student Living,Large Premium Studio,190,807.5,9690,51,,,,"Riverside, Sturry Road, Canterbury, CT1 1JX",https://www.mystudenthalls.com/student-accommodation/canterbury/riverside/
Riverside,Student Living,Extra Large Premium Studio,205,871.25,10455,51,,,,"Riverside, Sturry Road, Canterbury, CT1 1JX",https://www.mystudenthalls.com/student-accommodation/canterbury/riverside/
Riverside,Student Living,Twodio,169,718.25,8619,51,,,,"Riverside, Sturry Road, Canterbury, CT1 1JX",https://www.mystudenthalls.com/student-accommodation/canterbury/riverside/
Canterbury Student Manor,CRM Students,5 Bed Cluster En-suite,152,646.0,7752,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,5 Bed Cluster En-suite,157,575.67,6908,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,4 Bed Cluster En-suite,154,654.5,7854,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,4 Bed Cluster En-suite,159,583.0,6996,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Standard Studio,169,718.25,8619,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Standard Studio,175,641.67,7700,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Classic Studio,174,739.5,8874,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Classic Studio,180,660.0,7920,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Premium Studio,179,760.75,9129,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Premium Studio,185,678.33,8140,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Premium Studio Accessible,179,760.75,9129,51,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
Canterbury Student Manor,CRM Students,Premium Studio Accessible,185,678.33,8140,44,,,,"Canterbury Student Manor, Parham Road, Canterbury, CT1 1GA",https://www.mystudenthalls.com/student-accommodation/canterbury/canterbury-student-manor/
