Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Minimum Weeks,Area sqm,Area sqft,£psf pa,Address,url
iQ Fountainbridge,iQ Student Accommodation,Bronze En Suite Plus,189,693.0,8316,44,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Gold En Suite Plus,216,792.0,9504,44,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Silver En Suite Plus,191,700.33,8404,44,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Bronze Studio Plus,236,983.33,11800,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Gold 1 Bed,287,1195.83,14350,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Gold Studio Plus,264,1100.0,13200,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Platinum 1 Bed Plus,325,1354.17,16250,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Platinum Studio Plus,277,1154.17,13850,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
iQ Fountainbridge,iQ Student Accommodation,Silver Studio Plus,249,1037.5,12450,50,,,,"114 Dundee Street, Fountainbridge, Edinburgh, EH11 1AB",https://www.mystudenthalls.com/student-accommodation/edinburgh/iq-fountainbridge/
Panmure Court,Student Roost,Studio - Bronze,259,1100.75,13209,51,,,,"32 Calton Road, Edinburgh, Edinburgh, EH8 8DP",https://www.mystudenthalls.com/student-accommodation/edinburgh/panmure-court/
Panmure Court,Student Roost,Studio - Silver,265,1126.25,13515,51,,,,"32 Calton Road, Edinburgh, Edinburgh, EH8 8DP",https://www.mystudenthalls.com/student-accommodation/edinburgh/panmure-court/
