Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Minimum Weeks,Area sqm,Area sqft,£psf pa,Address,url
The Lyra,Downing Students,Bronze Studio,283,1202.75,14433,51,,,,"Portal Way, London, W3 6BX",https://www.mystudenthalls.com/student-accommodation/london/the-lyra/
The Lyra,Downing Students,Silver Studio ,281,1194.25,14331,51,,,,"Portal Way, London, W3 6BX",https://www.mystudenthalls.com/student-accommodation/london/the-lyra/
The Lyra,Downing Students,Gold Studio,314,1334.5,16014,51,,,,"Portal Way, London, W3 6BX",https://www.mystudenthalls.com/student-accommodation/london/the-lyra/
The Lyra,Downing Students,Platinum Studio,340,1445.0,17340,51,,,,"Portal Way, London, W3 6BX",https://www.mystudenthalls.com/student-accommodation/london/the-lyra/
iQ Kingston,iQ Student Accommodation,Bronze Studio,284,1017.67,12212,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Copper Studio,279,999.75,11997,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Gold Studio,352,1261.33,15136,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Gold Studio Plus,356,1275.67,15308,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Platinum Studio,412,1476.33,17716,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Silver Studio,305,1092.92,13115,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Silver Studio Plus,310,1110.83,13330,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Silver Studio Premium,315,1128.75,13545,43,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Bronze En Suite,226,941.67,11300,50,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Gold En Suite,264,1100.0,13200,50,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
iQ Kingston,iQ Student Accommodation,Silver En Suite,245,1020.83,12250,50,,,,"15 Wood Street ,Kingston upon Thames, Surrey, London, KT1 1TY",https://www.mystudenthalls.com/student-accommodation/london/iq-kingston/
Pound Field,Downing Students ,Studio - Bronze,364,1547.0,18564,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Pound Field,Downing Students ,Studio - Silver,379,1610.75,19329,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Pound Field,Downing Students ,Studio - Silver Plus,389,1653.25,19839,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Pound Field,Downing Students ,Studio - Gold,409,1738.25,20859,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Pound Field,Downing Students ,Studio - Platinum ,423,1797.75,21573,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Pound Field,Downing Students ,Studio - Diamond,453,1925.25,23103,51,,,,"200A Lambeth Road, Lambeth, London, SE1 7LR",https://www.mystudenthalls.com/student-accommodation/london/pound-field/
Vega,Downing Students,3dio,284,1207.0,14484,51,,,,"Miles Street, London, SW8 1RZ",https://www.mystudenthalls.com/student-accommodation/london/vega/
Vega,Downing Students,Standard en-suite bedroom,323,1184.33,14212,44,,,,"Miles Street, London, SW8 1RZ",https://www.mystudenthalls.com/student-accommodation/london/vega/
Vega,Downing Students,Standard En-suite,314,1334.5,16014,51,,,,"Miles Street, London, SW8 1RZ",https://www.mystudenthalls.com/student-accommodation/london/vega/
Vega,Downing Students,Premium En-suite,335,1423.75,17085,51,,,,"Miles Street, London, SW8 1RZ",https://www.mystudenthalls.com/student-accommodation/london/vega/
