Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Minimum Weeks,Area sqm,Area sqft,£psf pa,Address,url
Student Castle York,Student Castle,Clifford Flat (5 & 6 bed flat),189,803.25,9639,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
Student Castle York,Student Castle,Clifford Deluxe (5 & 6 bed flat),195,828.75,9945,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
Student Castle York,Student Castle,Raven Studio,210,892.5,10710,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
Student Castle York,Student Castle,Raven Studio Deluxe,212,901.0,10812,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
Student Castle York,Student Castle,Lancaster Studio,227,964.75,11577,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
Student Castle York,Student Castle,Howard Twin Studio,258,1096.5,13158,51,,,,"Student Castle, 80 Walmgate, York, YO1 9TL",https://www.mystudenthalls.com/student-accommodation/york/student-castle-york/
The Boulevard,Student Roost,Ensuite - Bronze,195,828.75,9945,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Boulevard,Student Roost,Ensuite - Silver,205,871.25,10455,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Boulevard,Student Roost,Studio  - Bronze,225,956.25,11475,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Boulevard,Student Roost,Studio Silver,235,998.75,11985,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Boulevard,Student Roost,Studio Gold,245,1041.25,12495,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Boulevard,Student Roost,Studio Platinum,255,1083.75,13005,51,,,,"6-18 Hull Road, York, York, YO10 3JG",https://www.mystudenthalls.com/student-accommodation/york/the-boulevard/
The Coal Yard,CRM Students,En-suite,169,619.67,7436,44,,,,"The Coal Yard, 11 Mansfield St, York, YO31 7AJ",https://www.mystudenthalls.com/student-accommodation/york/the-coal-yard/
The Coal Yard,CRM Students,Standard En-suite,170,623.33,7480,44,,,,"The Coal Yard, 11 Mansfield St, York, YO31 7AJ",https://www.mystudenthalls.com/student-accommodation/york/the-coal-yard/
The Coal Yard,CRM Students,Standard Plus En-suite,175,641.67,7700,44,,,,"The Coal Yard, 11 Mansfield St, York, YO31 7AJ",https://www.mystudenthalls.com/student-accommodation/york/the-coal-yard/
The Coal Yard,CRM Students,Studio,196,833.0,9996,51,,,,"The Coal Yard, 11 Mansfield St, York, YO31 7AJ",https://www.mystudenthalls.com/student-accommodation/york/the-coal-yard/
iQ The Brickworks,iQ Student Accommodation,Gold Studio,233,990.25,11883,51,,,,"Hallfield Road, York, YO31 7AD",https://www.mystudenthalls.com/student-accommodation/york/iq-the-brickworks/
iQ The Brickworks,iQ Student Accommodation,Platinum Studio,256,1088.0,13056,51,,,,"Hallfield Road, York, YO31 7AD",https://www.mystudenthalls.com/student-accommodation/york/iq-the-brickworks/
Abode,Homes for Students,Classic Studio Plus,210,892.5,10710,51,,,,"Percy's Lane, York, YO1 9PN",https://www.mystudenthalls.com/student-accommodation/york/abode/
